"id","description","latitude","longitude"
871,"2 metry spanset kolem stromu (stejné jako klepátko)",49.399688,12.86817
839,"Druhá strana se kotví za poklici (která je mezi Slackturnem a HippiePunkem, blížeji k HippiePunku). Zde je potřeba cca 8m spansetů. Nejlepší je opět použít kotvení přes stahovák a vyvést spanset nahoru (poté je lajna vodorovně).
Na úvodní fotce je obhozen celý blok, na což je potřeba více spansetů.",50.799268,14.054991
840,,50.802621,14.046738
853,Strom,49.900545,18.479121
854,Strom,49.8439,18.885615
855,,49.8439,15.47436
767,,50.800278,14.054279
844,Strom pojištěný druhým stromem,50.665835,15.281979
872,taky dvoumetr spanset kolem stromu,49.399482,12.868626
873,,49.398945,12.869146
868,dvoumetr spanset kolem stromu.,49.399683,12.868183
869,"dva metry spanset. strom leze ze skály metr nad lezeckejma kruhama. Obejdeš lom a slaníš se - chycenej za stromy. Jde to i bez slanění, ale pro jistotu, povrch je sypkej.",49.399739,12.868478
870,,49.398927,12.869117
811,"",49.949832,14.131409
812,"",49.949992,14.131728
813,,49.937527,14.133629
802,"",49.946018,14.13505
803,"",49.946653,14.134667
804,,49.937553,14.133604
820,"",49.950355,14.12481
821,"",49.950122,14.125774
822,,49.937562,14.133587
860,Břízky vyvázat ke keři na hraně,50.043391,14.391255
861,,50.041427,14.390905
832,"",49.947565,14.129613
833,"",49.94699,14.129452
834,,49.937544,14.133608
762,"",50.548518,15.192314
763,"",50.548962,15.191854
764,,50.554197,15.195801
781,,50.790224,15.086964
859,"3x nýt v rozsypané skále, 2x keř. My ještě používali kolíky zabité do země.",50.043398,14.39225
878,Od břízy 2m spanset  a napínání také na této straně,50.483956,15.135979
879,,50.490277,15.134079
889,"Jižní strana je kotvená za strom. Při vyšších tazích doporučuji vyvázat dva stromy. Poté vyvést na hranu podél pařezu.
Při kotvení za jeden strom cca 9m spansetů.
Odtud napínat.",50.842853,14.355369
890,Severní strana kotvená za strom za hranou či lze obhodit vyčnívající skálu na ostrohu. Při kotvení za strom cca 10-12m spansetů. Při kotvení za skálu pravděpodobně 4m na jednoducho a pak 2-3m na vyvedení za hranu.,50.843205,14.355289
891,,50.836806,14.358773
