"id","entity_id","component_id","component_type","field","order"
1052,725,851,point.anchor-point,secondAnchorPoint,1
1053,725,852,point.anchor-point,carParking,1
1054,693,772,point.anchor-point,firstAnchorPoint,1
1055,693,773,point.anchor-point,secondAnchorPoint,1
1056,693,774,point.anchor-point,carParking,1
1057,789,1042,point.anchor-point,firstAnchorPoint,1
1058,789,1043,point.anchor-point,secondAnchorPoint,1
1059,789,1044,point.anchor-point,carParking,1
1060,755,940,point.anchor-point,firstAnchorPoint,1
1061,755,941,point.anchor-point,secondAnchorPoint,1
1062,755,942,point.anchor-point,carParking,1
1063,573,625,point.anchor-point,firstAnchorPoint,1
1064,573,626,point.anchor-point,secondAnchorPoint,1
1065,573,627,point.anchor-point,carParking,1
1066,593,649,point.anchor-point,firstAnchorPoint,1
1067,722,841,point.anchor-point,firstAnchorPoint,1
1068,722,842,point.anchor-point,secondAnchorPoint,1
1069,722,843,point.anchor-point,carParking,1
1070,743,904,point.anchor-point,firstAnchorPoint,1
1071,743,905,point.anchor-point,secondAnchorPoint,1
1072,743,906,point.anchor-point,carParking,1
1073,564,608,point.anchor-point,firstAnchorPoint,1
1074,564,609,point.anchor-point,secondAnchorPoint,1
1075,564,610,point.anchor-point,carParking,1
1076,788,1039,point.anchor-point,firstAnchorPoint,1
1077,788,1040,point.anchor-point,secondAnchorPoint,1
1078,788,1041,point.anchor-point,carParking,1
1082,607,665,point.anchor-point,firstAnchorPoint,1
1083,607,666,point.anchor-point,secondAnchorPoint,1
1084,607,667,point.anchor-point,carParking,1
1085,638,703,point.anchor-point,firstAnchorPoint,1
1086,638,704,point.anchor-point,secondAnchorPoint,1
1087,638,705,point.anchor-point,carParking,1
1266,728,859,point.anchor-point,firstAnchorPoint,1
1267,728,860,point.anchor-point,secondAnchorPoint,1
1268,728,861,point.anchor-point,carParking,1
1091,733,874,point.anchor-point,firstAnchorPoint,1
1092,733,875,point.anchor-point,secondAnchorPoint,1
1093,733,876,point.anchor-point,carParking,1
1094,783,1024,point.anchor-point,firstAnchorPoint,1
1095,783,1025,point.anchor-point,secondAnchorPoint,1
1096,783,1026,point.anchor-point,carParking,1
1100,735,880,point.anchor-point,firstAnchorPoint,1
1101,735,881,point.anchor-point,secondAnchorPoint,1
1102,735,882,point.anchor-point,carParking,1
1106,727,856,point.anchor-point,firstAnchorPoint,1
1107,727,857,point.anchor-point,secondAnchorPoint,1
1108,727,858,point.anchor-point,carParking,1
1112,765,970,point.anchor-point,firstAnchorPoint,1
1113,765,971,point.anchor-point,secondAnchorPoint,1
1114,765,972,point.anchor-point,carParking,1
1115,737,886,point.anchor-point,firstAnchorPoint,1
1116,737,887,point.anchor-point,secondAnchorPoint,1
1117,737,888,point.anchor-point,carParking,1
1118,678,751,point.anchor-point,firstAnchorPoint,1
1119,678,752,point.anchor-point,secondAnchorPoint,1
1120,678,753,point.anchor-point,carParking,1
1121,764,967,point.anchor-point,firstAnchorPoint,1
1122,764,968,point.anchor-point,secondAnchorPoint,1
1123,764,969,point.anchor-point,carParking,1
1124,637,700,point.anchor-point,firstAnchorPoint,1
1125,637,701,point.anchor-point,secondAnchorPoint,1
1126,637,702,point.anchor-point,carParking,1
1127,705,790,point.anchor-point,firstAnchorPoint,1
1128,705,791,point.anchor-point,secondAnchorPoint,1
1129,705,792,point.anchor-point,carParking,1
1130,703,784,point.anchor-point,firstAnchorPoint,1
1131,703,785,point.anchor-point,secondAnchorPoint,1
1132,703,786,point.anchor-point,carParking,1
1133,684,759,point.anchor-point,firstAnchorPoint,1
1134,684,760,point.anchor-point,secondAnchorPoint,1
1135,684,761,point.anchor-point,carParking,1
1136,768,979,point.anchor-point,firstAnchorPoint,1
1137,768,980,point.anchor-point,secondAnchorPoint,1
1138,768,981,point.anchor-point,carParking,1
1139,572,624,point.anchor-point,firstAnchorPoint,1
1140,606,662,point.anchor-point,firstAnchorPoint,1
1141,606,663,point.anchor-point,secondAnchorPoint,1
1142,606,664,point.anchor-point,carParking,1
1146,721,838,point.anchor-point,firstAnchorPoint,1
1147,721,839,point.anchor-point,secondAnchorPoint,1
1148,721,840,point.anchor-point,carParking,1
1149,736,883,point.anchor-point,firstAnchorPoint,1
1150,736,884,point.anchor-point,secondAnchorPoint,1
1151,736,885,point.anchor-point,carParking,1
1152,759,952,point.anchor-point,firstAnchorPoint,1
1153,759,953,point.anchor-point,secondAnchorPoint,1
1154,759,954,point.anchor-point,carParking,1
1155,657,724,point.anchor-point,firstAnchorPoint,1
1156,657,725,point.anchor-point,secondAnchorPoint,1
1157,657,726,point.anchor-point,carParking,1
1158,726,853,point.anchor-point,firstAnchorPoint,1
1159,726,854,point.anchor-point,secondAnchorPoint,1
1160,726,855,point.anchor-point,carParking,1
1161,570,622,point.anchor-point,firstAnchorPoint,1
1162,688,767,point.anchor-point,firstAnchorPoint,1
1163,723,844,point.anchor-point,firstAnchorPoint,1
1164,723,845,point.anchor-point,secondAnchorPoint,1
1165,723,846,point.anchor-point,carParking,1
1166,732,871,point.anchor-point,firstAnchorPoint,1
1167,732,872,point.anchor-point,secondAnchorPoint,1
1168,732,873,point.anchor-point,carParking,1
1169,731,868,point.anchor-point,firstAnchorPoint,1
1170,731,869,point.anchor-point,secondAnchorPoint,1
1171,731,870,point.anchor-point,carParking,1
