"id","name","description","state","region","sector","length","height","author","name_history","date_tense","date_insertion","time_approach","time_tensioning","rating","created_at","updated_at","published_at","created_by_id","updated_by_id"
694,Levoboček,"Směr lehkej na kotvení strom-strom. Na jednu stranu se vpohodě dojde, na druhou takový napůl lezení. Když přicházíte k lajně tak na pravé straně borovičku ukotvit co nejníž a obandážovat pořádně spanset na hraně 3m, na levé straně dobrý přístup, místo na kladky 2m spanset. ",Česká republika,Královéhradecký kraj,Prachov,29,14,"Kernerski, Peeto, Adam",,2012-12-27,,,,2,,,,,
695,Pařízková,"Pěknej směr přes cestu v údolí. Na jedný straně obhoz velkýho bloku na předskalí cca 10m spansetů, snadný přístup s jedním pololezeckým krokem. Na druhé straně kotvení za strom blíž u skály - borovice 2m spanset. ",Česká republika,Královéhradecký kraj,Prachov,41,20,"Peeto, Kernerski, Voříšek",,2012-12-27,,,,3,,,,,
697,No gods no masters,"Moc pěkná a exponovaná lajna. Z věže na kterou vede 3,14 a Kinder, nemusí se lízt, stačí skočit přeskok za II, na masiv kotvení v zářezu. Kotvení tak 6m a 4m spansetů.",Česká republika,Ústecký kraj,Ostrov,22,30,Faith,,,,,,4,,,,,
687,Big air,"Pěkně exponovanej směr na věž za kterou je vidět celý údolí. Tušim že na každý straně 3 plakety. Na věž se leze nějaká trojka, na druhou skálu asi taky za tři. ",Polsko,Dolnoslezské,"Sokoliki, Polsko",36,15,"Janek, Damian",,,,,,3,,2022-10-22 12:05:21.079,2022-10-22 12:05:21.071,,1
683,Dobrman,"Kotvení od klasiky na Dogu - strom borovička 5m, obhoz hrany na stažení do směru 3m. Na druhé straně obhoz šutru za blokem a vytažení na hranu 8m spansetů. Pěknej směr na začátek, ideál na duťáku.",Česká republika,Ústecký kraj,Tisá,12,20,"Peeto, Jindra, Kaštan",,2011-09-04,,,,2,,2022-10-22 12:32:20.471,2022-10-22 12:32:20.465,,1
682,Doga nu school,"Pravej směr na Dogu. Kotvení na masivu za vybíhající blok - zadní zářez. Možnost 16m spansetů nebo míň, ale ne tak elegantní varianta(šel by i 5m na jednoducho a prodloužení na hranu). Na Doze prostřední šutr 3m na jednoducho, metr na prodloužení, kotvení vychází na vršek. První napnutí od Němců 2011.",Česká republika,Ústecký kraj,Tisá,25,20,Němci,,2010-05-14,,,,3,,2022-10-22 12:32:41.934,2022-10-22 12:32:41.927,,1
681,Doga old school,"Levej směr na Dogu. Kotvení na masivu za velkej šutr a vytažení kotvení navršek 3m na jednoducho, 4m na hranu, na Doze obhoz středovýho šutru 3m na jednoducho a metr na hranu tak. Poprvé napnuto Němci 2011.",Česká republika,Ústecký kraj,Tisá,25,20,Němci,,2010-05-14,,,,3,,2022-10-22 12:32:56.091,2022-10-22 12:32:56.083,,1
684,Holčičky na provázku,"Supr čupr lajna na Sahaře ve Skaláku. Na straně pod Únorovou věží kládahex do spáry - 4m nebo 5m spansetů, na druhý straně na Ministrantovi kotvení za strom a vytažení na hranu - podložit pařezem pokud tam zůstal nebo najít nové klády cca 14m spansetů. Nataženo od G4G.",Česká republika,Liberecký kraj,"Hrubá skála, Sahara",40,20,"Jelena, Faith, Ančekanče","",2009-12-20,,,,3,,2022-10-22 12:53:26.106,2022-10-22 12:53:26.099,,1
688,Klárčina buchtička,"Krátkýá bezpečná highline z masivu na věž(....nějaká Jehla), na kterou je zakázaný lízt na úzký vrcholový blok.
pěknej obhoz za zub ze zadku věže okolo tenkého vrcholového bloku. cca 9m spansetů asi. Druhá strana se obhazuje za zadní blok(buchtu na masivu, co se nehýbe! cca 6m spansetů.(podložit kládou).
PS: na věž je těžký lezení...tak je to pro dobrý lezce a nebo vychcánky co se tam umí dostat přehozením lana přes věž.",Česká republika,Ústecký kraj,Ostrov,12,13,"Danny, Luky, Adam, uhlík, voří",,2013-10-26,,,,5,,2022-10-22 13:06:57.648,2022-10-22 13:06:57.641,,1
696,Kleparate separity,"Lajna vedoucí od bloku u Alter wegu(směr na Csukáš tvrdě) kotvení za strom Alter wegu a vytažení kolem bloku 8m spansetů, druhá strana stejně jako Slackturn, ale jsou dvě varianty. 37m - obhození zadního šutru a vytažení kolem hrany cca 15m spansetů,  35m - kotvení za klády, protažení skrz okno a opření o velkej šutr cca 9m spansetů. ",Česká republika,Ústecký kraj,Ostrov,36,20,Kernerski,,2013-04-25,,,,3,,2022-10-22 13:08:55.283,2022-10-22 13:08:55.274,,1
699,Prdopad,"Rychlá a jednoduchá lajna na kotvení, dobrá pro začátek. Vede vedle přelanění ocelových lan. Kotvení strom-strom, na jedné straně lepší prodloužit na hranu tak 2m spansetem. ",Česká republika,Liberecký kraj,"Jablonec, Na dopadu",15,11,"Voříšek, Peeto, Adam",,2013-06-17,,,,1,,,,,
701,Starline,"Navrtáno na každý straně 3 expanzní 10mm závitovky, plakety si vzít sebou i s matkama. Na pravý straně (převis) jdou dodatečný backupy obhozem různých hrotů a ve stěně vytáhnout lano nahoru ke stromu od kterýho se ke kotvení slaní...",Itálie,Trentino-Alto Adige,Arco - Colodri,25,320,"",,,,,,5,,,,,
702,Ornitolog,"V zadní části jezírka. Na pravé straně za dva stromy vzadu a protáhnout až ke kraji, podložit (2x2m,2x3m,3 šekly 12mm nerez a pevnější na spojení). Levá strana za hranou velké plotny (3nýty, 3m+2m, šekl 12mm nerez a pevnější na spojení). Vzít reepku na přetáhnutí lajny. K nýtům se dostává technickým lezením, přes zaseknutý vrták nahozenou smyčkou k nýtům. Je třeba trochu zručnosti a několik smyček a karabin :)",Česká republika,Hlavní město Praha,Prokopské údolí,30,20,"Píďa, Lukáš",,2013-12-25,,,,3,,,,,
704,Zrození,"<p>Jednoduch&aacute; lajna (tah&aacute;no s&aacute;m), snadn&yacute; př&iacute;stup ke sk&aacute;la a i na ni. Kotven&iacute;: hrot směr vyhl&iacute;dka 4m spanset+backup za borh&aacute;k. Na druh&eacute; straně kolem vrcholku a doleva dolů 6m+2m na backup za vrcholek.<\/p>
",CZ,Vysočina,Pasecká skála,10,9,LesMen,"",2014-01-11,,,,0,,,,,
709,Prosíme vystupte,"",Česká Republika,středočeský,Srbsko,76,18,Lukáš Černý,"",2014-06-02,,,,1,,2022-10-22 13:29:23.599,2022-10-22 13:29:23.593,,1
706,Lapač snů,"<p>Na zač&aacute;tku skal v srbsku. U HL hodin&aacute;ř. Jedna strana navrtan&aacute; a druh&aacute; obhoz.<\/p>
",čr,středočeský,Srbsko,50,25,Lukáš Černý a Jakub Trávník,"",2014-05-19,,,,3,,,,,
707,Zub času,"<p>Hajlajna na Pantheonu. Kotven&iacute; za uzel ve stěně a obhoz. prvn&iacute; tahal Kwjet&aacute;k v roce 2012.<\/p>
",čr,český ráj,Pantheon - Malá skála,53,20,Kwjet,"",2012-10-01,,,,0,,,,,
708,Mokrej pes,"<p>Highline na mostě na Zbraslav<\/p>
",čr,praha,Praha,43,10,Lukáš Černý,"",2014-05-01,,,,1,,,,,
710,Pondělní vlhká!,"<p>Kotven&iacute; 2x nejt (3m spanset), druh&aacute; strana strom + keř a směrovat okolo men&scaron;&iacute;ho bloku (9m spansetu)<\/p>
",čr,středočeský,Srbsko,49,15,Lukáš Černý,"",2014-06-30,,,,1,,,,,
711,Potní žláza,"<p>Mal&yacute; lom kus od alkaz&aacute;ru směrem na Sv. J&aacute;n pod Skalou. Nejdel&scaron;&iacute; a nejvy&scaron;&scaron;&iacute; směr nad Hajlajnou &quot;Vlhk&aacute; ponděln&iacute;&quot;. Kotven&iacute; strom (10m) + druh&aacute; strana stromek a keř vyv&aacute;zat (13m)<\/p>
",ČR,středočeský,Srbsko,51,20,Lukáš Černý,"",2014-08-08,,,,2,,,,,
